Track name, Artist name, Album, Playlist name, Type, ISRC
"Adoration of the Magi (feat. Crystal ""Røvél"" Torres),Lupe Fiasco,Tetsuo & Youth,Favorite Songs,Favorite,USAT21405251"
Lunar Soular,Cambatta,LSD: Lunar Solar Duality,Favorite Songs,Favorite,QM6N22011925
Schlechtes Gewissen,Audio88,Schlechtes Gewissen,Favorite Songs,Favorite,DEQ022010360
Y.B.I. (The Drum Majors Remix),Masta Ace,A Breukelen Story (Deluxe Edition),Favorite Songs,Favorite,US6680916363
Towards the Summit,Killah Priest,The Third Eye in Technicolor,Favorite Songs,Favorite,QZNWU2056888
Dedicated my Life,Zelooperz,Van Goghs Left Ear,Favorite Songs,Favorite,QZK6L2185997
VanGogh'sLeftEar,Zelooperz,Van Goghs Left Ear,Favorite Songs,Favorite,QZK6L2185986
Bash Bandicoon,Zelooperz,Van Goghs Left Ear,Favorite Songs,Favorite,QZK6L2185991
Crowned Disciples,Killah Priest,The Third Eye in Technicolor,Favorite Songs,Favorite,QZNWU2056881
Diamond Dallas,Boldy James,Bo Jackson,Favorite Songs,Favorite,USUYG1382808
Rare,Nas,King's Disease II,Favorite Songs,Favorite,QM8RL2001187
My Bible,Nas,King's Disease II,Favorite Songs,Favorite,QM8RL2001196
Photographic Memories (feat. Earl Sweatshirt),Boldy James,Bo Jackson,Favorite Songs,Favorite,USUYG1382806
Flight Risk,Boldy James,Bo Jackson,Favorite Songs,Favorite,USUYG1382809
3rd Person,Boldy James,Bo Jackson,Favorite Songs,Favorite,USUYG1382812
First 48 Freestyle,Boldy James,Bo Jackson,Favorite Songs,Favorite,USUYG1380330
Christopher Lambert,Dano,Istmo,Favorite Songs,Favorite,QM6N21818253
His Image,Rome Streetz,Genesis 1:27,Favorite Songs,Favorite,QZHN72167933
Brunch on Sundays (feat. Blxst),Nas,King's Disease II,Favorite Songs,Favorite,QM8RL2001193
Lay Wit Ya (feat. Duke Deuce),Isaiah Rashad,The House Is Burning,Favorite Songs,Favorite,USWB12101141
Wat U Sed (feat. Iamdoechii & Kal Banx),Isaiah Rashad,The House Is Burning,Favorite Songs,Favorite,USWB12102079
All Herb (feat. Amindi),Isaiah Rashad,The House Is Burning,Favorite Songs,Favorite,USWB12102076
YOUWHISPERSSOUL!!!!!,9th Wonder,Zion V: The Ballad Of Charles Douthit,Favorite Songs,Favorite,USUYG1347746
NITEGROOVESOUL!!!!,9th Wonder,Zion V: The Ballad Of Charles Douthit,Favorite Songs,Favorite,USUYG1347726
ONETIME!!!!,9th Wonder,Zion V: The Ballad Of Charles Douthit,Favorite Songs,Favorite,USUYG1347729
POWERSOUL!!!!,9th Wonder,Zion V: The Ballad Of Charles Douthit,Favorite Songs,Favorite,USUYG1347733
SLOWDOWNFONKSOUL!!!!,9th Wonder,Zion V: The Ballad Of Charles Douthit,Favorite Songs,Favorite,USUYG1347735
BURDENSOUL!!!,9th Wonder,Zion V: The Ballad Of Charles Douthit,Favorite Songs,Favorite,USUYG1347697
CHRONIUMSOUL!!!,9th Wonder,Zion V: The Ballad Of Charles Douthit,Favorite Songs,Favorite,USUYG1347700
DOWNLOWSOUL!!!,9th Wonder,Zion V: The Ballad Of Charles Douthit,Favorite Songs,Favorite,USUYG1347702
DADDYSREVENGE,9th Wonder,Zion V: The Ballad Of Charles Douthit,Favorite Songs,Favorite,USUYG1347705
FIRESOUL!!!!!,9th Wonder,Zion V: The Ballad Of Charles Douthit,Favorite Songs,Favorite,USUYG1347710
GHETTOLOVE!!!!!,9th Wonder,Zion V: The Ballad Of Charles Douthit,Favorite Songs,Favorite,USUYG1347713
MODHINSOUL!!!,9th Wonder,Zion V: The Ballad Of Charles Douthit,Favorite Songs,Favorite,USUYG1347723
Jinty Boy Blues,Kojaque,Town's Dead,Favorite Songs,Favorite,GBENL2002847
Sistine Chapel,Sadistik,Haunted Gardens,Favorite Songs,Favorite,TCAEC1975675
Margiela Split Toes (feat. Mach-Hommy),Westside Gunn,Hitler Wears Hermes 8: Sincerely Adolf,Favorite Songs,Favorite,USUYG1386304
Ya no es el mismo,Pufuleti,Tumbulata,Favorite Songs,Favorite,DEQ021902118
Star Stepper /// Ageha's Stance,iblss,Mad Space,Favorite Songs,Favorite,QZK6M1900581
Lowtide,Zelooperz,Valley of Life,Favorite Songs,Favorite,QZNWT2006866
Funeral Biz / Welcome to Detroit (Interlude) (feat. Malice & Mario Sweet),Tall Black Guy,8 Miles to Moenart,Favorite Songs,Favorite,GBMCZ0600677
Still Here,Wiki,Half God,Favorite Songs,Favorite,GB5P52100249
Survivor's Remorse (feat. Rick Hyde),Benny The Butcher,The Plugs I Met 2,Favorite Songs,Favorite,QM4TW2169496
The Magic Watch,Your Old Droog,TIME,Favorite Songs,Favorite,USHKR0920302
So High,Your Old Droog,TIME,Favorite Songs,Favorite,USHKR0920305
One Move,Your Old Droog,TIME,Favorite Songs,Favorite,USHKR0920310
The Other Way,Your Old Droog,TIME,Favorite Songs,Favorite,USHKR0920311
No Time,Your Old Droog,TIME,Favorite Songs,Favorite,USHKR0920314
Madson Ave,Your Old Droog,TIME,Favorite Songs,Favorite,USHKR0920313
I Got The Fever Baby,Rick Flair,Sessions 1,Favorite Songs,Favorite,DELJ81941621
Leap of Faith,X-Ray Dog,Shepherd,Favorite Songs,Favorite,US3DF1703057
Japan Air,Skee Mask,Shred,Favorite Songs,Favorite,DEOB61600250
The Wind-Stirred Trees,Reiyashi,Conversations With a River God,Favorite Songs,Favorite,QZHN81906744
alarmed!,MIKE,Disco!,Favorite Songs,Favorite,QZAKB2124310
Sandra,MIKE,Disco!,Favorite Songs,Favorite,QZAKB2124321
Rated R,Rome Streetz,Razor's Edge,Favorite Songs,Favorite,QZK6P2131915
Mud into Moet,Rome Streetz,Razor's Edge,Favorite Songs,Favorite,QZK6P2131903
Stuwerboy,Monobrother,Solodarität,Favorite Songs,Favorite,ATHK51900202
Closed Space,CFCF,Liquid Colours,Favorite Songs,Favorite,QZ5FN1912476
Oxygen Lounge,CFCF,Liquid Colours,Favorite Songs,Favorite,QZ5FN1912472
Sweet Time,Porter Robinson,Nurture,Favorite Songs,Favorite,USQE92000200
Tech Unlimited,MoMa Ready,Deep Technik,Favorite Songs,Favorite,USYBL2001793
Peach Rings,MoMa Ready,Untitled [HOA018],Favorite Songs,Favorite,USYBL2101318
Kwaku,Kessler,Ambivalent,Favorite Songs,Favorite,UKN6K2001440
Melczop 2,Skee Mask,Shred,Favorite Songs,Favorite,DEOB61600247
Group Meditation,AceMoMa,A Future,Favorite Songs,Favorite,USYBL2101166
Sky Trax,AceMoMa,EP3,Favorite Songs,Favorite,USYBL2001958
Simple As A Song,MoMa Ready,Untitled [HOA018],Favorite Songs,Favorite,USYBL2101316
Vrieselaan,Kessler,Ambivalent,Favorite Songs,Favorite,UKN6K2001438
Let It Go,MoMa Ready,Untitled [HOA018],Favorite Songs,Favorite,USYBL2101315
I Miss Your Love,MoMa Ready,The NYC Dance Project,Favorite Songs,Favorite,USYBL2000405
The Influence Of,MoMa Ready,Untitled [HOA018],Favorite Songs,Favorite,USYBL2101314
Session Add,Skee Mask,Compro,Favorite Songs,Favorite,DEOB61800330
Hidden by Horizons,Lone,Mouth of God,Favorite Songs,Favorite,GBRTB2100036
Moonlight Branches,Kessler,Ambivalent,Favorite Songs,Favorite,UKN6K2001436
Levitate!,Dreeks,Until It Falls Apart,Favorite Songs,Favorite,GBSMU9821639
Revolutionary,AceMoMa,EP3,Favorite Songs,Favorite,USYBL2001954
The Hawthorne Effect,Llyr,Biome,Favorite Songs,Favorite,FR10S2196245
tear(ing),Nobodyis,and i found nothing there,Favorite Songs,Favorite,QZK6Q2122251
Movimiento I - Avanza rápido el tren,Hiperlaxo,Sur,Favorite Songs,Favorite,CAENV2112660
Movimiento II - Niebla interior,Hiperlaxo,Sur,Favorite Songs,Favorite,CAENV2112659
Movimiento III y IV - Piedra angular / El sur será el futuro,Hiperlaxo,Sur,Favorite Songs,Favorite,CAENV2112662
Colors of Fall, Wool Clothes,Kendall Miles,Chillhop Essentials Fall 2021,Favorite Songs,Favorite,NL1LE2102284
Little Bird,Liphe,Chillhop Essentials Fall 2021,Favorite Songs,Favorite,NL1LE2102162
Brisk,fantompower,Chillhop Essentials Fall 2021,Favorite Songs,Favorite,NL1LE2102285
The Shortest Day Alone,Psalm Trees,Chillhop Essentials Fall 2021,Favorite Songs,Favorite,NL1LE2102047
